DateTime,Entries,UniqueIPs
1527036505,82460,82460
1527037468,82397,82397
1527038425,82391,82391
1527039384,82370,82370
1527040358,82407,82407
1527041325,82343,82343
1527042275,82338,82338
1527043239,82358,82358
1527044211,82392,82392
1527045176,82337,82337
1527046098,82329,82329
1527047120,82328,82328
1527048039,82370,82370
1527048989,82340,82340
1527049947,82279,82279
1527050904,82280,82280
1527051871,82244,82244
1527052823,82257,82257
1527053785,82229,82229
1527054752,82265,82265
1527055723,82259,82259
1527056671,82276,82276
1527057637,82258,82258
1527058594,82308,82308
1527059556,82261,82261
1527060495,82270,82270
1527061482,82207,82207
1527062428,82207,82207
1527063387,82204,82204
1527064344,82205,82205
1527065296,82217,82217
1527066272,82245,82245
1527067222,82255,82255
1527068187,82245,82245
1527069138,82265,82265
1527070110,82324,82324
1527071070,82320,82320
1527072015,82306,82306
1527072976,82265,82265
1527074196,82130,82130
1527075389,82165,82165
1527076349,82182,82182
1527077308,82178,82178
1527078277,82194,82194
1527079217,82214,82214
1527080187,82231,82231
1527081149,82276,82276
1527082098,82319,82319
1527083084,82330,82330
1527085613,82480,82480
1527086656,82506,82506
1527087637,82516,82516
1527088574,82528,82528
1527089548,82485,82485
1527090499,82534,82534
1527091465,82531,82531
1527092418,82405,82405
1527093381,82457,82457
1527094603,82476,82476
1527095535,82532,82532
1527096492,82498,82498
1527097471,82438,82438
1527098425,82354,82354
1527099384,82450,82450
1527100342,82388,82388
1527101301,82355,82355
1527102263,82402,82402
1527103218,82302,82302
1527104191,82345,82345
1527105151,82237,82237
1527106099,82312,82312
1527107076,82190,82190
1527108014,82091,82091
1527109018,81998,81998
1527109955,82052,82052
1527110896,82294,82294
1527111895,82833,82833
1527112865,81698,81698
1527113782,81822,81822
1527115357,81823,81823
1527116441,81795,81795
1527117376,81785,81785
1527118362,81807,81807
1527119297,81843,81843
1527120266,81863,81863
1527121214,81867,81867
1527122196,81918,81918
1527123135,81956,81956
1527124119,81995,81995
1527125081,82022,82022
1527126034,82042,82042
1527126975,82011,82011
1527128196,82035,82035
1527129139,82035,82035
1527130109,82035,82035
1527131083,82000,82000
1527132020,81975,81975
1527132990,81941,81941
1527133939,81929,81929
1527134926,81926,81926
1527135859,81933,81933
1527136817,81940,81940
1527137802,81937,81937
1527138744,81915,81915
1527139701,81897,81897
1527140671,81891,81891
1527141621,81882,81882
1527142589,81883,81883
1527143548,81855,81855
1527144505,81874,81874
1527145461,81869,81869
1527146418,81868,81868
1527147404,81843,81843
1527148597,81820,81820
1527149534,81841,81841
1527150502,81861,81861
1527151463,81869,81869
1527152425,81857,81857
1527153404,81847,81847
1527154346,81838,81838
1527155309,81818,81818
1527156264,81775,81775
1527157215,81763,81763
1527158176,81781,81781
1527159148,81780,81780
1527160097,81787,81787
1527161058,81769,81769
1527162020,81736,81736
1527162979,81678,81678
1527163958,81666,81666
1527164892,81616,81616
1527165871,81591,81591
1527166846,81541,81541
1527167772,81504,81504
1527169498,81517,81517
1527170668,81505,81505
1527171612,81507,81507
1527172605,81492,81492
1527173583,81469,81469
1527174528,81437,81437
1527175459,81417,81417
1527176420,81383,81383
1527177401,81403,81403
1527178338,81408,81408
1527179294,81453,81453
1527180271,81487,81487
1527181224,81525,81525
1527182198,81566,81566
1527183147,81623,81623
1527184099,81647,81647
1527185087,81673,81673
1527186036,81709,81709
1527187219,81731,81731
1527188185,81738,81738
1527189143,81766,81766
1527190104,81788,81788
1527191066,81795,81795
1527192026,81809,81809
1527192977,81831,81831
1527193942,81847,81847
1527194900,81862,81862
1527195872,81879,81879
1527196814,81900,81900
1527197795,82459,82459
1527198746,83264,83264
1527199708,83810,83810
1527200661,82009,82009
1527201774,82018,82018
1527202819,82061,82061
1527203779,82065,82065
1527204742,82068,82068
1527205697,82091,82091
1527206664,82092,82092
1527207611,82117,82117
1527208599,82121,82121
1527209537,82097,82097
1527210510,82132,82132
1527211456,82267,82267
1527212418,82348,82348
1527213375,82383,82383
1527214361,82430,82430
1527215334,82463,82463
1527216276,82483,82483
1527217215,82496,82496
1527218190,82502,82502
1527219142,82498,82498
1527220113,82524,82524
1527221064,82565,82565
1527222022,82634,82634
1527222977,82703,82703
1527223945,82729,82729
1527224908,82759,82759
1527225870,82807,82807
1527226813,82843,82843
1527227798,82878,82878
1527228740,82916,82916
1527229701,82959,82959
1527230683,83014,83014
1527231632,83065,83065
1527232577,83083,83083
1527233546,83098,83098
1527234493,83109,83109
1527235485,83166,83166
1527236412,83212,83212
1527237391,83231,83231
1527238336,83240,83240
1527239305,83259,83259
1527240268,83280,83280
1527241233,83298,83298
1527242184,83322,83322
1527243152,83298,83298
