DateTime,AddedIPs,RemovedIPs
1526950913,5,3
1526952774,6,0
1526954762,5,4
1526956728,8,3
1526958571,6,3
1526960439,8,6
1526962636,10,4
1526964549,8,63
1526966708,10,335
1526968614,7,7
1526970546,5,117
1526972510,14,4
1526974624,7,7
1526976536,4,7
1526978447,530,1
1526980375,380,382
1526982296,634,9
1526984228,118,6
1526986126,4,3
1526988497,24,6
1526990583,11,4
1526992409,4,1
1526994292,6,5
1526996722,26,7
1526998600,9,4
1527000513,5,8
1527002433,7,18
1527004369,88,9
1527006289,7,6
1527008184,4,7
1527010128,2,44
1527012105,8,4
1527014222,4,10
1527016138,4,8
1527018049,8,11
1527019982,49,6
1527021898,4,23
1527024190,7,22
1527026084,10,38
1527028118,5,6
1527030144,48,7
1527031972,76,2
1527033898,66,5
1527036026,9,3
1527037972,6,3
1527039894,8,7
1527041802,8,3
1527043719,12,6
1527045632,7,3
1527047585,10,6
1527049485,9,7
1527051416,83,6
1527053326,12,6
1527055305,8,7
1527057167,9,47
1527059093,53,5
1527061009,8,7
1527062939,7,4
1527064868,11,291
1527066778,49,333
1527068697,20,623
1527070616,9,130
1527073006,10,4
1527074931,12,29
1527076943,6,6
1527078767,12,4
1527080684,8,5
1527082607,10,22
1527084801,9,9
1527086664,4,7
1527088583,6,6
1527090509,5,5
1527092429,6,6
1527094613,12,107
1527096502,7,2
1527098495,19,8
1527100351,22,4
1527102272,6,2
1527104201,5,8
1527106109,10,48
1527108023,11,2
1527109964,11,777
1527111905,32,991
1527113792,24,10
1527115972,11,74
1527117877,5,55
1527119803,20,84
1527121819,7,9
1527123727,16,12
1527125575,9,7
1527127930,11,6
1527129853,6,13
1527131788,12,9
1527133964,11,11
1527135960,10,12
1527137811,10,366
1527139764,466,9
1527141711,8,7
1527143671,9,86
1527145972,87,8
1527148139,17,7
1527150035,75,7
1527152020,13,11
1527153864,15,12
1527155803,268,11
1527157720,12,5
1527159700,10,3
1527161737,11,8
1527163967,11,4
1527165880,15,5
1527167781,117,6
1527169940,52,6
1527171877,12,4
1527174154,16,6
1527175970,9,1
1527177966,15,4
1527179815,9,6
1527181857,11,6
1527183861,342,7
1527186046,10,20
1527187931,8,14
1527190113,11,4
1527192079,455,6
1527193948,8,6
1527195878,199,10
1527197801,12,6
1527199714,11,23
1527201935,5,8
1527203786,8,6
1527205890,3,18
1527207873,6,10
1527211006,26,12
1527212918,6,7
1527216284,15,12
1527218199,5,11
1527220121,10,8
1527222032,9,7
1527223955,8,122
1527225879,9,567
1527227807,11,10
1527229712,1555,57
1527231700,253,363
1527233553,8,11
1527235492,6,10
1527237398,5,73
1527239312,9,9
1527241240,7,165
1527243159,7,95
