DateTime,AddedIPs,RemovedIPs
1527099384,129,0
1527100342,27,145
1527101301,130,272
1527102263,70,0
1527103218,90,314
1527104191,27,0
1527105151,49,330
1527106099,89,0
1527107076,21,175
1527108014,26,217
1527109018,27,130
1527109955,58,0
1527110896,321,68
1527111895,662,160
1527112865,729,1881
1527113782,239,0
1527115357,121,122
1527116441,69,130
1527117376,48,58
1527118362,146,95
1527119297,142,33
1527120266,125,97
1527121214,66,69
1527122196,84,84
1527123135,90,61
1527124119,120,90
1527125081,74,81
1527126034,74,44
1527126975,70,82
1527128196,96,89
1527129139,65,71
1527130109,62,62
1527131083,39,104
1527132020,60,54
1527132990,84,94
1527133939,66,82
1527134926,90,62
1527135859,33,45
1527136817,113,92
1527137802,43,76
1527138744,66,74
1527139701,54,77
1527140671,66,48
1527141621,66,53
1527142589,59,64
1527143548,16,81
1527144505,86,65
1527145461,80,80
1527146418,64,34
1527147404,94,80
1527148597,62,56
1527149534,77,73
1527150502,87,47
1527151463,91,43
1527152425,80,92
1527153404,143,88
1527154346,73,84
1527155309,114,39
1527156264,60,85
1527157215,117,70
1527158176,86,14
1527159148,63,41
1527160097,126,50
1527161058,98,54
1527162020,186,77
1527162979,177,28
1527163958,278,32
1527164892,11,29
1527165871,13,28
1527166846,3,43
1527167772,13,22
1527169498,69,39
1527170668,24,41
1527171612,65,12
1527172605,26,29
1527173583,5,12
1527174528,5,37
1527175459,7,40
1527176420,14,56
1527177401,16,39
1527178338,10,88
1527179294,34,0
1527180271,28,0
1527181224,27,0
1527182198,64,0
1527183147,109,0
1527184099,35,0
1527185087,21,0
1527186036,35,33
1527187219,54,88
1527188185,59,38
1527189143,51,24
1527190104,41,26
1527191066,42,20
1527192026,40,19
1527192977,65,16
1527193942,62,23
1527194900,71,14
1527195872,73,16
1527196814,69,23
1527197795,613,21
1527198746,827,18
1527199708,582,31
1527200661,195,1955
1527201774,86,61
1527202819,56,0
1527203779,51,31
1527204742,72,24
1527205697,87,29
1527206664,71,29
1527207611,72,17
1527208599,63,19
1527209537,53,25
1527210510,52,17
1527211456,50,32
1527212418,48,22
1527213375,70,15
1527214361,82,23
1527215334,93,37
1527216276,87,31
1527217215,40,19
1527218190,49,28
1527219142,75,36
1527220113,102,22
1527221064,72,36
1527222022,35,22
1527222977,67,40
1527223945,62,66
1527224908,66,19
1527225870,104,32
1527226813,108,23
1527227798,84,22
1527228740,56,22
1527229701,124,25
1527230683,81,12
1527231632,74,18
1527232577,48,15
1527233546,45,17
1527234493,64,11
1527235485,70,19
1527236412,97,12
1527237391,44,21
1527238336,43,17
1527239305,80,27
1527240268,75,38
1527241233,116,32
1527242184,76,6
1527243152,69,81
