DateTime,Entries,UniqueIPs
1526949390,3362,3362
1526950345,3361,3361
1526951317,3379,3379
1526952260,3370,3370
1526953224,3381,3381
1526954190,3382,3382
1526955660,3363,3363
1526956616,3359,3359
1526957811,3344,3344
1526958992,3367,3367
1526959963,3391,3391
1526960896,3398,3398
1526961869,3428,3428
1526963065,3440,3440
1526964030,3466,3466
1526965005,3435,3435
1526965975,3400,3400
1526967143,3365,3365
1526968102,3354,3354
1526969079,3365,3365
1526970044,3389,3389
1526970992,3404,3404
1526971955,3401,3401
1526972920,3409,3409
1526973885,3427,3427
1526975131,3422,3422
1526976042,3445,3445
1526976985,3464,3464
1526977949,3455,3455
1526978900,3453,3453
1526979869,3449,3449
1526980817,3462,3462
1526981798,3465,3465
1526982742,3451,3451
1526983709,3435,3435
1526984657,3439,3439
1526985647,3443,3443
1526986573,3465,3465
1526987595,3469,3469
1526988984,3462,3462
1526989952,3499,3499
1526990907,3502,3502
1526991880,3487,3487
1526992848,3527,3527
1526993783,3519,3519
1526994745,3507,3507
1526995707,3481,3481
1526996698,3464,3464
1526998133,3524,3524
1526999056,3542,3542
1527000018,3545,3545
1527000992,3521,3521
1527001969,3530,3530
1527002894,3550,3550
1527003871,3532,3532
1527004848,3526,3526
1527005785,3495,3495
1527006739,3477,3477
1527007715,3485,3485
1527008659,3521,3521
1527009621,3553,3553
1527010592,3548,3548
1527011545,3556,3556
1527013500,3593,3593
1527014663,3582,3582
1527015637,3579,3579
1527016588,3585,3585
1527017539,3609,3609
1527018498,3604,3604
1527019462,3620,3620
1527020422,3628,3628
1527021391,3630,3630
1527022360,3619,3619
1527023559,3614,3614
1527024499,3617,3617
1527025465,3676,3676
1527026429,3725,3725
1527027413,3658,3658
1527028613,3662,3662
1527029537,3664,3664
1527030522,3653,3653
1527031461,3661,3661
1527032415,3668,3668
1527033381,3664,3664
1527034445,3628,3628
1527035563,3617,3617
1527036505,3617,3617
1527037468,3606,3606
1527038425,3625,3625
1527039384,3644,3644
1527040358,3652,3652
1527041325,3663,3663
1527042275,3662,3662
1527043239,3695,3695
1527044211,3719,3719
1527045176,3710,3710
1527046098,3702,3702
1527047120,3700,3700
1527048039,3705,3705
1527048989,3700,3700
1527049947,3711,3711
1527050904,3704,3704
1527051871,3710,3710
1527052823,3724,3724
1527053785,3744,3744
1527054752,3732,3732
1527055723,3722,3722
1527056671,3736,3736
1527057637,3745,3745
1527058594,3735,3735
1527059556,3731,3731
1527060495,3721,3721
1527061482,3726,3726
1527062428,3748,3748
1527063387,3764,3764
1527064344,3772,3772
1527065296,3768,3768
1527066272,3775,3775
1527067222,3785,3785
1527068187,3800,3800
1527069138,3823,3823
1527070110,3822,3822
1527071070,3838,3838
1527072015,3820,3820
1527072976,3791,3791
1527074196,3810,3810
1527075389,3818,3818
1527076349,3793,3793
1527077308,3764,3764
1527078277,3756,3756
1527079217,3743,3743
1527080187,3725,3725
1527081149,3715,3715
1527082098,3738,3738
1527083084,3745,3745
1527085613,3766,3766
1527086656,3771,3771
1527087637,3783,3783
1527088574,3780,3780
1527089548,3748,3748
1527090499,3718,3718
1527091465,3743,3743
1527092418,3799,3799
1527093381,3773,3773
1527094603,3757,3757
1527095535,3800,3800
1527096492,3772,3772
1527097471,3740,3740
1527098425,3751,3751
1527099384,3754,3754
1527100342,3768,3768
1527101301,3774,3774
1527102263,3750,3750
1527103218,3768,3768
1527104191,3771,3771
1527105151,3814,3814
1527106099,3813,3813
1527107076,3815,3815
1527108014,3828,3828
1527109018,3846,3846
1527109955,3845,3845
1527110896,3853,3853
1527111895,3862,3862
1527112865,3895,3895
1527113782,3852,3852
1527115357,3856,3856
1527116441,3874,3874
1527117376,3834,3834
1527118362,3810,3810
1527119297,3831,3831
1527120266,3851,3851
1527121214,3899,3899
1527122196,3969,3969
1527123135,3950,3950
1527124119,3988,3988
1527125081,3986,3986
1527126034,3996,3996
1527126975,3976,3976
1527128196,3974,3974
1527129139,3986,3986
1527130109,3984,3984
1527131083,4002,4002
1527132020,3977,3977
1527132990,3964,3964
1527133939,3946,3946
1527134926,3962,3962
1527135859,3974,3974
1527136817,3943,3943
1527137802,3946,3946
1527138744,3947,3947
1527139701,3965,3965
1527140671,3975,3975
1527141621,3974,3974
1527142589,3985,3985
1527143548,3991,3991
1527144505,4000,4000
1527145461,3993,3993
1527146418,3981,3981
